Cod_UDH,Local,Municipio,Ano,Morte5
1350850400020,Santa Luzia 2 / Bandeirantes,Caçapava (SP),2010,22.01
1350860300001,Cachoeira Paulista,Cachoeira Paulista (SP),2000,19.21
1350860300001,Cachoeira Paulista,Cachoeira Paulista (SP),2010,15.43
1350970000001,Capivari / Vila Iara / Jardim Andira / Abernéssia / Fracalanza,Campos do Jordão (SP),2000,13.97
1350970000001,Capivari / Vila Iara / Jardim Andira / Abernéssia / Fracalanza,Campos do Jordão (SP),2010,9.37
1350970000002,Alto Capivari / Jardim Alpestre : Parque Estadual dos Mananciais de Campos do Jordão,Campos do Jordão (SP),2000,14.71
1350970000002,Alto Capivari / Jardim Alpestre : Parque Estadual dos Mananciais de Campos do Jordão,Campos do Jordão (SP),2010,9.37
1350970000003,Jardim Nova Suíça : EMEF Laurinda Da Matta,Campos do Jordão (SP),2000,29.34
1350970000003,Jardim Nova Suíça : EMEF Laurinda Da Matta,Campos do Jordão (SP),2010,21.5
1350970000004,Umuarama : Represa Umuarama / Parque Amantikir,Campos do Jordão (SP),2000,29.34
1350970000004,Umuarama : Represa Umuarama / Parque Amantikir,Campos do Jordão (SP),2010,21.5
1350970000005,Vila Telma : Igreja Nossa Senhora de Fátima,Campos do Jordão (SP),2000,29.34
1350970000005,Vila Telma : Igreja Nossa Senhora de Fátima,Campos do Jordão (SP),2010,21.5
1350970000006,Jardim Sumaré,Campos do Jordão (SP),2000,29.34
1350970000006,Jardim Sumaré,Campos do Jordão (SP),2010,21.5
1350970000007,Capivari / São Francisco / Jardim Primavera / Jardim Paulista / Vila Telma : Cemitério Municipal de Campos do Jordão,Campos do Jordão (SP),2000,18.97
1350970000007,Capivari / São Francisco / Jardim Primavera / Jardim Paulista / Vila Telma : Cemitério Municipal de Campos do Jordão,Campos do Jordão (SP),2010,13.55
1350970000008,Jardim Manancial / Loteamento Véu da Noiva / Jardim do Embaúba / Jardim Belvedere / Parque Aquarela / Recanto Araucária / Vila Natal : Parque do Capivari / Estádio Municipal,Campos do Jordão (SP),2000,19.15
1350970000008,Jardim Manancial / Loteamento Véu da Noiva / Jardim do Embaúba / Jardim Belvedere / Parque Aquarela / Recanto Araucária / Vila Natal : Parque do Capivari / Estádio Municipal,Campos do Jordão (SP),2010,13.55
1350970000009,Santa Clara / Serra Do Baú,Campos do Jordão (SP),2000,14.71
1350970000009,Santa Clara / Serra Do Baú,Campos do Jordão (SP),2010,9.37
1350970000010,Jaridm Nova Suíça,Campos do Jordão (SP),2000,14.71
1350970000010,Jaridm Nova Suíça,Campos do Jordão (SP),2010,9.37
1350970000011,Vila Matilde / Vila Loli  / Vila Cristina / Rosas : Parque das Cerejeiras,Campos do Jordão (SP),2000,19.15
1350970000011,Vila Matilde / Vila Loli  / Vila Cristina / Rosas : Parque das Cerejeiras,Campos do Jordão (SP),2010,13.55
1350970000012,Parque Estadual de Campos do Jordão / Campista : Horto Florestal,Campos do Jordão (SP),2000,29.34
1350970000012,Parque Estadual de Campos do Jordão / Campista : Horto Florestal,Campos do Jordão (SP),2010,21.5
1350970000013,Vila Abernéssia : Mosteiro de São João,Campos do Jordão (SP),2000,29.34
1350970000013,Vila Abernéssia : Mosteiro de São João,Campos do Jordão (SP),2010,21.5
1350970000014,Jardim Sumaré / Jardim Panorama / Jardim Imperial : Museu Felícia Leirner,Campos do Jordão (SP),2000,18.97
1350970000014,Jardim Sumaré / Jardim Panorama / Jardim Imperial : Museu Felícia Leirner,Campos do Jordão (SP),2010,13.55
1350995700001,Canas,Canas (SP),2000,31.5
1350995700001,Canas,Canas (SP),2010,21.17
1351050000001,Indaiá : ETAC / Instituto Federal de São Paulo / Zona de Pescadores,Caraguatatuba (SP),2000,14.02
1351050000001,Indaiá : ETAC / Instituto Federal de São Paulo / Zona de Pescadores,Caraguatatuba (SP),2010,9.04
1351050000002,Prainha / Martin de Sá,Caraguatatuba (SP),2000,14.25
1351050000002,Prainha / Martin de Sá,Caraguatatuba (SP),2010,9.31
1351050000003,Cocanha / Mococa / Jardim Imperial / Tabatinga,Caraguatatuba (SP),2000,14.71
1351050000003,Cocanha / Mococa / Jardim Imperial / Tabatinga,Caraguatatuba (SP),2010,9.37
1351050000004,Perequê-Mirim / Pegorelli,Caraguatatuba (SP),2000,29.79
1351050000004,Perequê-Mirim / Pegorelli,Caraguatatuba (SP),2010,23.98
